Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
07-AUG-2023,10.5725,11.4175,10.4025,11.1025,10.5725,0.53,5.01
08-AUG-2023,11.1025,11.53,11.1025,11.325,11.1025,0.22,2.00
09-AUG-2023,11.325,11.765,10.485,11.14,11.325,-0.19,-1.63
10-AUG-2023,11.14,11.91,10.6275,11.4,11.14,0.26,2.33
11-AUG-2023,11.4,11.865,11.355,11.5225,11.4,0.12,1.07
14-AUG-2023,11.5225,12.755,10.4775,11.995,11.5225,0.47,4.10
16-AUG-2023,11.995,12.6825,11.995,12.125,11.995,0.13,1.08
17-AUG-2023,12.125,12.665,12.1125,12.24,12.125,0.12,0.95
18-AUG-2023,12.24,12.4925,10.7875,12.1425,12.24,-0.10,-0.80
21-AUG-2023,12.1425,12.59,11.1725,11.96,12.1425,-0.18,-1.50
22-AUG-2023,11.96,12.085,11.59,11.7475,11.96,-0.21,-1.78
23-AUG-2023,11.7475,11.885,10.3075,11.7275,11.7475,-0.02,-0.17
24-AUG-2023,11.7275,12.235,10.1975,11.7,11.7275,-0.03,-0.23
25-AUG-2023,11.7,12.2425,9.98,12.0825,11.7,0.38,3.27
28-AUG-2023,12.0825,12.72,9.5,12.3975,12.0825,0.32,2.61
29-AUG-2023,12.3975,12.4625,10.6475,12.225,12.3975,-0.17,-1.39
30-AUG-2023,12.225,12.2425,11.4625,11.8,12.225,-0.43,-3.48
31-AUG-2023,11.8,12.28,11.76,12.0625,11.8,0.26,2.22
01-SEP-2023,12.0625,12.18,10.4075,11.365,12.0625,-0.70,-5.78
04-SEP-2023,11.365,11.5425,10.86,10.9625,11.365,-0.40,-3.54
05-SEP-2023,10.9625,11.085,9.365,10.815,10.9625,-0.15,-1.35
06-SEP-2023,10.815,10.975,9.805,10.6775,10.815,-0.14,-1.27
07-SEP-2023,10.6775,11.025,9.8,10.8725,10.6775,0.20,1.83
08-SEP-2023,10.8725,10.97,10.0775,10.78,10.8725,-0.09,-0.85
11-SEP-2023,10.78,11.5,10.3375,11.3475,10.78,0.57,5.26
12-SEP-2023,11.3475,12.0225,10.7125,11.69,11.3475,0.34,3.02
13-SEP-2023,11.69,12.0475,11.535,11.8275,11.69,0.14,1.18
14-SEP-2023,11.8275,12.0425,11.21,11.3175,11.8275,-0.51,-4.31
15-SEP-2023,11.3175,11.32,10.0725,10.9025,11.3175,-0.42,-3.67
