date,open,high,low,close,volume,source,downloaded_at,daily_return_pct,return_3d,return_5d,return_10d,avg_5d_volume,avg_20d_volume,volume_ratio_5d,volume_ratio_20d,volume_state,range_points,range_pct,gap_points,gap_pct,atr_5,atr_14,rolling_volatility_10d,rolling_volatility_30d,sector_close,sector_rs_ratio,sector_zscore,sector_percentile,delivery_pct,delivery_pct_5d,fii_net,dii_net,advance_decline_ratio,net_advances_pct,pct_above_50dma,highs_minus_lows_pct,composite_breadth_score,market_breadth_state
2023-01-02,18131.69921875,18215.150390625,18086.5,18197.44921875,256100,yfinance:^NSEI,2026-08-05T14:32:28.085569,0.3626,,,,256100.0,256100.0,1.0,1.0,normal,128.65,0.707,,,,,,,18197.44921875,1.0,0.0,1.0,51.97371322408986,51.97371322408986,-1549.7654730546974,-44.56889198941762,1.5,0.2,0.3,-0.06,0.454,mixed
2023-01-03,18163.19921875,18251.94921875,18149.80078125,18232.55078125,208700,yfinance:^NSEI,2026-08-05T14:32:28.085569,0.3818,,,,232400.0,232400.0,0.898,0.898,dry,102.15,0.5603,-34.25,-0.1882,,,0.0136,0.0136,18232.55078125,1.0,0.0,0.75,46.893885590630525,49.4337994073602,542.6804033275022,-1044.0161388968909,1.2727,0.12,0.38,-0.02,0.474,mixed
2023-01-04,18230.650390625,18243.0,18020.599609375,18042.94921875,235200,yfinance:^NSEI,2026-08-05T14:32:28.085569,-1.0296,,,,233333.0,233333.0,1.008,1.008,normal,222.4,1.2326,-1.9,-0.0104,,,0.8094,0.8094,18042.94921875,1.0,0.0,0.6666666666666666,53.18150830480554,50.68303570650864,1353.035802563644,343.6366682943155,0.1628,-0.72,0.32,-0.04,0.28,deteriorated
2023-01-05,18101.94921875,18120.30078125,17892.599609375,17992.150390625,269900,yfinance:^NSEI,2026-08-05T14:32:28.085569,-0.6066,-1.1282,,,242475.0,242475.0,1.1131,1.1131,elevated,227.7,1.2656,59.0,0.327,,,0.7086,0.7086,17992.150390625,1.0,0.0,0.625,60.184238851264205,53.058336492697535,-52.43603652138985,-980.432582186749,1.5,0.2,0.4,-0.16,0.484,mixed
2023-01-06,18008.05078125,18047.400390625,17795.55078125,17859.44921875,238200,yfinance:^NSEI,2026-08-05T14:32:28.085569,-0.8252,-2.0463,,,241620.0,241620.0,0.9858,0.9858,normal,251.85,1.4102,15.9,0.0884,186.55,,0.6702,0.6702,17859.44921875,1.0,0.0,0.6,46.12677300221331,51.67202379460069,1181.3207869512319,-606.2676896788757,0.25,-0.6,0.24,-0.2,0.256,deteriorated
2023-01-09,17952.55078125,18141.400390625,17936.150390625,18101.19921875,257200,yfinance:^NSEI,2026-08-05T14:32:28.085569,0.828,0.3228,-0.5289,,241840.0,244217.0,1.0635,1.0532,normal,205.25,1.1339,93.1,0.5213,217.21,,0.7668,0.7668,18101.19921875,1.0,0.0,0.5833333333333334,54.13947783322327,52.105176716427366,-870.0433305682933,-375.1031881369534,6.1429,0.72,0.44,-0.02,0.618,strengthened
2023-01-10,18121.30078125,18127.599609375,17856.0,17914.150390625,283300,yfinance:^NSEI,2026-08-05T14:32:28.085569,-1.1431,-0.4335,-1.7463,,256760.0,249800.0,1.1034,1.1341,elevated,271.6,1.5161,20.1,0.1111,251.1,,0.7946,0.7946,17914.150390625,1.0,0.0,0.5714285714285714,44.24420491252038,51.575240580805335,10.504169176824663,-228.33055521316248,0.4706,-0.36,0.32,-0.12,0.344,weakened
2023-01-11,17924.25,17976.349609375,17824.349609375,17895.69921875,259900,yfinance:^NSEI,2026-08-05T14:32:28.085569,-0.1593,0.203,-0.8161,,261700.0,251062.0,0.9931,1.0352,normal,152.0,0.8494,10.1,0.0564,237.02,,0.7371,0.7371,17895.69921875,1.0,0.0,0.5625,52.34048034868772,51.40703498958178,455.00144427338165,1547.0050546201326,0.5806,-0.2653,0.36,-0.14,0.3769,weakened
2023-01-12,17920.849609375,17945.80078125,17761.650390625,17858.19921875,227800,yfinance:^NSEI,2026-08-05T14:32:28.085569,-0.3496,-1.3425,-0.7445,,253280.0,248478.0,0.8994,0.9168,dry,184.15,1.0312,25.15,0.1405,228.31,,0.69,0.69,17858.19921875,1.0,0.0,0.5555555555555556,44.2926584575003,48.228718910828995,-258.02698550262426,1304.470066763827,0.8519,-0.08,0.34,-0.02,0.418,weakened
2023-01-13,17867.5,17999.349609375,17774.25,17956.599609375,256700,yfinance:^NSEI,2026-08-05T14:32:28.085569,0.4987,0.237,0.544,,256980.0,249300.0,0.9989,1.0297,normal,225.1,1.2536,9.3,0.0521,222.96,,0.6958,0.6958,17956.599609375,1.0,0.0,0.55,44.27416197143795,47.85819670467392,635.1634881228921,-585.5593478106899,2.5714,0.44,0.34,-0.06,0.518,mixed
2023-01-16,18033.150390625,18049.650390625,17853.650390625,17894.849609375,206200,yfinance:^NSEI,2026-08-05T14:32:28.085569,-0.7669,-0.0047,-1.14,-1.6629,246780.0,245382.0,0.8356,0.8403,dry,196.0,1.0953,76.55,0.4263,205.77,,0.6852,0.6816,17894.849609375,1.0,0.0,0.5454545454545454,34.20065733989574,43.870432606008414,872.720805709661,-109.32015855063963,0.5625,-0.28,0.38,0.08,0.404,weakened
2023-01-17,17922.80078125,18072.05078125,17886.94921875,18053.30078125,219100,yfinance:^NSEI,2026-08-05T14:32:28.085569,0.7281,1.0925,0.7768,-0.9831,233940.0,243192.0,0.9366,0.9009,normal,185.1,1.0253,27.95,0.1562,188.47,,0.7316,0.7092,18053.30078125,1.0,0.0,0.5416666666666666,43.50169976607222,43.72193157671879,95.58885660937229,808.97008649798,2.3333,0.4,0.44,0.04,0.56,strengthened
