date,open,high,low,close,volume,source,downloaded_at,daily_return_pct,return_3d,return_5d,return_10d,avg_5d_volume,avg_20d_volume,volume_ratio_5d,volume_ratio_20d,volume_state,range_points,range_pct,gap_points,gap_pct,atr_5,atr_14,rolling_volatility_10d,rolling_volatility_30d,advance_decline_ratio,net_advances_pct,pct_above_50dma,highs_minus_lows_pct,composite_breadth_score,market_breadth_state
2023-01-02,1158.7090222381169,1171.8865462707408,1157.8911210447166,1170.4779052734375,5316175,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,1.0157,,,,5316175.0,5316175.0,1.0,1.0,normal,14.0,1.1957,,,,,,,1.5,0.2,0.3,-0.06,0.454,mixed
2023-01-03,1165.5476587645308,1169.160125804233,1157.7093889350726,1161.9124755859375,7658932,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,-0.3119,,,,6487554.0,6487554.0,1.1806,1.1806,elevated,11.45,0.9855,-4.93,-0.4212,,,0.9388,0.9388,1.2727,0.12,0.38,-0.02,0.474,mixed
2023-01-04,1161.8896870062515,1163.7300547153022,1142.3506838068283,1144.418212890625,9264891,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,-1.5037,,,,7413333.0,7413333.0,1.2498,1.2498,elevated,21.38,1.8681,-0.02,-0.002,,,1.2603,1.2603,0.1628,-0.72,0.32,-0.04,0.28,deteriorated
2023-01-05,1146.6674842652508,1152.5292093307503,1137.806748253793,1142.3734130859375,13637099,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,-0.3745,-2.4011,,,8969274.0,8969274.0,1.5204,1.5204,spike,14.72,1.2888,2.25,0.1965,,,1.0305,1.0305,1.5,0.2,0.4,-0.16,0.484,mixed
2023-01-06,1148.0988183662998,1157.7774553339088,1144.3046224842542,1152.75634765625,6349597,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,0.4057,-0.788,,,8445339.0,8445339.0,0.7518,0.7518,dry,13.47,1.1687,5.73,0.5012,15.65,,0.9456,0.9456,0.25,-0.6,0.24,-0.2,0.256,deteriorated
2023-01-09,1156.5732620005954,1182.3375684218504,1155.687212453628,1179.974609375,10722753,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,2.0233,3.1069,0.8114,,9526654.0,8824908.0,1.1256,1.2151,elevated,26.65,2.2586,3.82,0.3311,18.77,,1.2269,1.2269,6.1429,0.72,0.44,-0.02,0.618,strengthened
2023-01-10,1184.155127696438,1184.155127696438,1156.891435377878,1162.52587890625,8047142,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,-1.8266,1.7641,0.0528,,9604296.0,8713798.0,0.8379,0.9235,dry,27.26,2.3452,4.18,0.3543,21.67,,1.3588,1.3588,0.4706,-0.36,0.32,-0.12,0.344,weakened
2023-01-11,1159.8450319996036,1162.344167776754,1145.5768933771294,1147.8717041015625,11509553,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,-1.0323,-0.4237,0.3018,,10053229.0,9063268.0,1.1449,1.2699,elevated,16.77,1.4607,-2.68,-0.2306,20.78,,1.3021,1.3021,0.5806,-0.2653,0.36,-0.14,0.3769,weakened
2023-01-12,1147.280880250268,1150.7569299071174,1120.0852177263123,1123.084228515625,17688773,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,-2.109,-4.8213,-1.6885,,10863564.0,10021657.0,1.6283,1.7651,spike,30.67,2.731,-0.59,-0.0515,23.97,,1.3742,1.3742,0.8519,-0.08,0.34,-0.02,0.418,weakened
2023-01-13,1117.0863548772086,1123.675117069892,1106.2717897707075,1121.266845703125,20618583,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,0.3742,-3.5491,-2.7317,,13717361.0,11081350.0,1.5031,1.8607,spike,17.4,1.5521,-6.0,-0.5341,24.37,,1.3192,1.3192,2.5714,0.44,0.34,-0.06,0.518,mixed
2023-01-16,1123.584175159578,1126.7421991055548,1102.8182596793808,1110.5885009765625,13623855,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,-1.1566,-3.248,-5.8803,-5.1167,14297581.0,11312487.0,0.9529,1.2043,normal,23.92,2.1542,2.32,0.2067,23.24,,1.2493,1.2759,0.5625,-0.28,0.38,0.08,0.404,weakened
2023-01-17,1116.9046027544262,1128.2644751675343,1113.5421334042796,1126.3560791015625,10751000,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,0.8462,0.2913,-3.1113,-3.0602,14838353.0,11265696.0,0.7245,0.9543,dry,14.72,1.3071,6.32,0.5687,21.32,,1.3253,1.2693,2.3333,0.4,0.44,0.04,0.56,strengthened
2023-01-18,1123.947854631307,1131.9451378363888,1117.9725482719243,1124.4930419921875,13448286,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,0.0485,0.2877,-2.0367,-1.7411,15226099.0,11433588.0,0.8832,1.1762,dry,13.97,1.2426,-2.41,-0.2138,20.73,,1.2763,1.2192,3.1667,0.52,0.48,0.22,0.618,strengthened
2023-01-19,1123.674992689111,1127.4237562572607,1116.2910462380278,1123.288818359375,11940054,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,-0.0344,1.1436,0.0182,-1.6706,14076356.0,11469764.0,0.8482,1.041,dry,11.13,0.9911,-0.82,-0.0727,16.82,19.06,1.278,1.1732,0.6667,-0.2,0.46,0.06,0.45,mixed
2023-01-20,1124.6291897175156,1124.6291897175156,1107.4758620574123,1109.9295654296875,14930286,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,-1.3071,-1.4584,-1.0111,-3.7152,12938696.0,11700465.0,1.1539,1.276,elevated,17.15,1.5454,1.34,0.1193,16.77,19.29,1.2956,1.1624,0.225,-0.6327,0.4,0.0,0.3335,weakened
2023-01-23,1112.8151498129876,1120.630703944606,1101.9095996617807,1104.31787109375,10954118,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,-0.7636,-1.7942,-0.5646,-6.4117,12404749.0,11653819.0,0.8831,0.94,dry,18.72,1.6953,2.89,0.26,15.73,19.71,0.9715,1.1282,1.7778,0.28,0.46,0.06,0.546,mixed
2023-01-24,1108.7253859560433,1110.3839043654414,1084.8014472016189,1097.7972412109375,16488755,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,-0.9856,-2.2694,-2.5355,-5.5679,13552300.0,11938227.0,1.2167,1.3812,elevated,25.58,2.3303,4.41,0.3991,17.31,20.01,0.8962,1.103,0.6129,-0.24,0.46,0.04,0.44,weakened
2023-01-25,1096.2067717974144,1097.2291180769223,1081.4615961665293,1082.6202392578125,12385018,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,-1.2394,-2.4605,-3.7237,-5.6846,13339646.0,11963048.0,0.9284,1.0353,normal,15.77,1.4564,-1.59,-0.1449,17.79,20.13,0.9093,1.0885,0.2821,-0.56,0.42,-0.32,0.324,weakened
2023-01-27,1083.461159577074,1084.8015319770325,1050.403768536496,1062.081787109375,25830975,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,-1.9732,-3.8246,-5.4489,-5.4317,16117830.0,12692939.0,1.6026,2.0351,spike,34.4,3.2387,0.84,0.0777,22.44,21.48,0.8855,1.1147,0.2821,-0.56,0.32,-0.34,0.282,deteriorated
2023-01-30,1059.5144571522903,1077.781116815708,1045.564464693845,1072.26025390625,21772103,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,1.203,-2.3262,-3.3938,-4.3706,17486194.0,13146897.0,1.2451,1.6561,elevated,32.22,3.0046,-2.57,-0.2417,25.45,21.67,1.0177,1.1514,1.2727,0.12,0.3,-0.22,0.422,weakened
2023-01-31,1082.370452122445,1084.9378563899695,1063.7402148448057,1069.5792236328125,22691594,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,-1.1818,-1.2046,-3.1457,-3.6926,19833689.0,14015668.0,1.1441,1.619,elevated,21.2,1.9819,10.11,0.9429,25.95,21.24,1.0195,1.134,0.96,-0.0204,0.3,0.0,0.4159,weakened
2023-02-01,1081.439113474972,1081.439113474972,1047.382090519888,1063.2406005859375,19347800,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,-1.6828,0.1091,-3.1478,-5.6035,20405498.0,14600112.0,0.9482,1.3252,normal,34.06,3.2031,11.86,1.1088,27.64,22.46,0.949,1.1365,0.9231,-0.04,0.34,-0.08,0.42,weakened
2023-02-02,1053.2891691648742,1066.9210156997124,1050.1084290116537,1057.3560791015625,13662663,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,0.3861,-1.39,-2.3336,-5.9704,20661027.0,14820000.0,0.6613,0.9219,dry,16.81,1.5901,-9.95,-0.936,27.74,21.47,0.9874,1.1265,0.6667,-0.2,0.28,-0.12,0.36,weakened
