date,open,high,low,close,volume,source,downloaded_at,daily_return_pct,return_3d,return_5d,return_10d,avg_5d_volume,avg_20d_volume,volume_ratio_5d,volume_ratio_20d,volume_state,range_points,range_pct,gap_points,gap_pct,atr_5,atr_14,rolling_volatility_10d,rolling_volatility_30d,advance_decline_ratio,net_advances_pct,pct_above_50dma,highs_minus_lows_pct,composite_breadth_score,market_breadth_state
2023-01-02,2877.3842299429016,2882.546136946802,2854.6192334296225,2877.78125,709547,yfinance:TCS.NS,2026-08-02T18:42:50.192839,0.0138,,,,709547.0,709547.0,1.0,1.0,normal,27.93,0.9704,,,,,,,1.5,0.2,0.3,-0.06,0.454,mixed
2023-01-03,2869.4429764459805,2929.443629089992,2863.531190519576,2921.811279296875,1245178,yfinance:TCS.NS,2026-08-02T18:42:50.192839,1.825,,,,977362.0,977362.0,1.274,1.274,elevated,65.91,2.2559,-8.34,-0.2897,,,1.2807,1.2807,1.2727,0.12,0.38,-0.02,0.474,mixed
2023-01-04,2917.7086484078304,2935.929567111687,2899.6202133591155,2924.723388671875,1231668,yfinance:TCS.NS,2026-08-02T18:42:50.192839,0.2404,,,,1062131.0,1062131.0,1.1596,1.1596,elevated,36.31,1.2415,-4.1,-0.1404,,,0.9868,0.9868,0.1628,-0.72,0.32,-0.04,0.28,deteriorated
2023-01-05,2938.4433252143804,2944.708184643928,2895.8693379101937,2921.59033203125,1826057,yfinance:TCS.NS,2026-08-02T18:42:50.192839,-0.5735,1.5223,,,1253112.0,1253112.0,1.4572,1.4572,elevated,48.84,1.6717,13.72,0.4691,,,1.0248,1.0248,1.5,0.2,0.4,-0.16,0.484,mixed
2023-01-06,2911.7966394640803,2913.1643446061225,2823.5603776621383,2833.751708984375,2488376,yfinance:TCS.NS,2026-08-02T18:42:50.192839,-2.6803,-3.0139,,,1500165.0,1500165.0,1.6587,1.6587,spike,89.6,3.162,-9.79,-0.3352,55.4,,1.6298,1.6298,0.25,-0.6,0.24,-0.2,0.256,deteriorated
2023-01-09,2849.1483482571443,2935.619868272381,2842.221716863226,2929.399169921875,2885060,yfinance:TCS.NS,2026-08-02T18:42:50.192839,2.8167,0.1599,1.7937,,1935268.0,1730981.0,1.4908,1.6667,elevated,93.4,3.1883,15.4,0.5433,70.19,,1.9176,1.9176,6.1429,0.72,0.44,-0.02,0.618,strengthened
2023-01-10,2898.5604331267577,2910.031144125433,2850.11882438517,2899.795654296875,3864655,yfinance:TCS.NS,2026-08-02T18:42:50.192839,0.0426,-0.746,-0.7535,,2459163.0,2035792.0,1.5715,1.8984,spike,59.91,2.0661,-30.84,-1.0527,72.87,,1.7527,1.7527,0.4706,-0.36,0.32,-0.12,0.344,weakened
2023-01-11,2903.0608113950348,2955.4730552710416,2886.3398704670703,2937.119873046875,2720512,yfinance:TCS.NS,2026-08-02T18:42:50.192839,1.1732,3.6477,0.4239,,2756932.0,2121382.0,0.9868,1.2824,normal,69.13,2.3538,3.27,0.1126,79.43,,1.6558,1.6558,0.5806,-0.2653,0.36,-0.14,0.3769,weakened
2023-01-12,2937.384743237744,2955.9143556162335,2925.5170107746744,2942.10546875,2250391,yfinance:TCS.NS,2026-08-02T18:42:50.192839,0.1607,0.4338,0.7022,,2841799.0,2135716.0,0.7919,1.0537,dry,30.4,1.0332,0.26,0.009,75.74,,1.5503,1.5503,0.8519,-0.08,0.34,-0.02,0.418,weakened
2023-01-13,2949.649513651844,2981.502886054615,2916.208061086269,2977.576416015625,1742837,yfinance:TCS.NS,2026-08-02T18:42:50.192839,0.9468,2.6823,5.0754,,2692691.0,2096428.0,0.6472,0.8313,dry,65.29,2.1929,7.54,0.2564,69.19,,1.4743,1.4743,2.5714,0.44,0.34,-0.06,0.518,mixed
2023-01-16,2993.324159475769,3025.8112471276013,2976.223361566918,3008.71044921875,1843607,yfinance:TCS.NS,2026-08-02T18:42:50.192839,0.514,2.4374,2.7074,4.5497,2484400.0,2073444.0,0.7421,0.8892,dry,49.59,1.6481,15.75,0.5289,58.74,,1.4684,1.3991,0.5625,-0.28,0.38,0.08,0.404,weakened
2023-01-17,3005.0551874608955,3051.8005344403805,2996.933416683974,3048.732177734375,1688475,yfinance:TCS.NS,2026-08-02T18:42:50.192839,1.4535,3.6242,5.1361,4.3439,2049164.0,2041364.0,0.824,0.8271,dry,54.87,1.7997,-3.66,-0.1215,53.86,,1.4339,1.3678,2.3333,0.4,0.44,0.04,0.56,strengthened
2023-01-18,3050.1762493662427,3076.3012356043387,3043.1825020489086,3059.200439453125,2421189,yfinance:TCS.NS,2026-08-02T18:42:50.192839,0.2959,2.7413,4.1565,4.5979,1989300.0,2070581.0,1.2171,1.1693,elevated,33.12,1.0826,1.44,0.0474,46.65,,1.4333,1.3107,3.1667,0.52,0.48,0.22,0.618,strengthened
2023-01-19,3050.175820908443,3056.492753081922,3033.029862151857,3043.94921875,1585044,yfinance:TCS.NS,2026-08-02T18:42:50.192839,-0.2041,1.1712,3.4616,4.1881,1856230.0,2035900.0,0.8539,0.7785,dry,23.46,0.7708,-9.02,-0.295,45.81,56.2,1.4096,1.2725,0.6667,-0.2,0.46,0.06,0.45,mixed
2023-01-20,3036.6398008661617,3063.3964349074176,3028.157150767711,3034.92529296875,1529349,yfinance:TCS.NS,2026-08-02T18:42:50.192839,-0.0565,-0.4529,1.926,7.0992,1813533.0,2002130.0,0.8433,0.7639,dry,35.24,1.1611,-7.31,-0.2401,39.8,56.72,0.9214,1.2326,0.225,-0.6327,0.4,0.0,0.3335,weakened
2023-01-23,3057.3954283238595,3085.370416009231,3028.1571422247093,3081.67041015625,1067916,yfinance:TCS.NS,2026-08-02T18:42:50.192839,0.794,0.7345,2.425,5.198,1658395.0,1943741.0,0.6439,0.5494,dry,57.21,1.8566,22.47,0.7404,41.32,56.1,0.5596,1.1949,1.7778,0.28,0.46,0.06,0.546,mixed
