date,close,high,low,open,volume
2022-06-01,2407.9765625,2438.856224886532,2352.7361818310123,2379.4495405622188,351443
2022-06-02,2370.77392578125,2416.456319480997,2344.9920477941405,2411.554785364403,164924
2022-06-03,2270.1455078125,2401.702634575531,2262.401179703757,2379.2046410281496,195149
2022-06-06,2316.90625,2330.140392893312,2245.932127549702,2270.145659643511,193033
2022-06-07,2305.289794921875,2326.2192035750304,2265.538302378467,2299.7999805650948,54080
2022-06-08,2259.901123046875,2322.5916897458083,2225.7864014214865,2322.5916897458083,113410
2022-06-09,2306.0732421875,2309.5043154245013,2244.7061901767383,2261.322339843681,101910
2022-06-10,2287.39892578125,2316.3667997265816,2251.9606920081646,2274.31173450693,175206
2022-06-13,2291.41796875,2307.9362332481837,2207.6508046890626,2249.803995009502,157963
2022-06-14,2275.635498046875,2317.445491231299,2257.94091079085,2284.11505692425,151551
2022-06-15,2259.313232421875,2293.6730366446113,2249.8043034936995,2293.6730366446113,283896
2022-06-16,2199.759521484375,2311.563566269066,2142.509696831498,2276.419469751095,359448
2022-06-17,2130.353759765625,2234.1683999703355,2090.0142281587855,2186.182426979296,188864
2022-06-20,2144.862060546875,2160.694157824995,2078.250266156191,2105.698854577122,184960
2022-06-21,2183.976806640625,2219.806832102716,2135.157475517487,2146.8720950187358,160680
2022-06-22,2172.31103515625,2201.27915202405,2144.9115050672995,2187.1137651336403,95802
2022-06-23,2245.637939453125,2264.508846507353,2170.0561848171255,2189.0252182904414,292754
2022-06-24,2245.245849609375,2264.508783135425,2205.739436392026,2247.7945037743093,190440
2022-06-27,2247.402587890625,2313.524239147161,2228.286603711231,2258.627053811466,289818
2022-06-28,2239.80517578125,2256.9114827300536,2228.139380473722,2246.814274141553,72430
2022-06-29,2264.704833984375,2279.213423211579,2186.0842725857297,2235.050551811407,248063
2022-06-30,2255.587646484375,2283.085297970889,2231.913334822716,2268.4297603073524,122566
2022-07-01,2230.63916015625,2265.9792697465077,2215.8366704125274,2215.8366704125274,97053
2022-07-04,2314.994873046875,2325.9742630707015,2221.473685320873,2233.5312693949954,192539
2022-07-05,2318.1806640625,2357.638015464769,2298.084373286189,2334.1106506534784,376434
2022-07-06,2467.43212890625,2480.176116858487,2323.327034369413,2328.0325547106268,1037060
2022-07-07,2511.9873046875,2538.455590319984,2476.794383598142,2489.9794632040735,667857
2022-07-08,2538.112548828125,2560.8556197719017,2503.7036828259697,2519.339529141521,534204
2022-07-11,2559.43408203125,2578.2068613532656,2525.3684210304796,2548.7976576115934,187883
2022-07-12,2490.763427734375,2557.6202999351312,2479.2938866744144,2555.6596864434214,204632
2022-07-13,2494.586669921875,2521.594170169866,2465.4716057837354,2491.939889424356,187311
2022-07-14,2498.1650390625,2520.3688933230965,2453.4138880804458,2493.9006085624105,204252
2022-07-15,2509.046142578125,2524.4369111721435,2471.353394718008,2480.2742821575316,389496
2022-07-18,2535.6123046875,2546.346615024821,2503.8014006165763,2528.2109413470694,205877
2022-07-19,2539.876708984375,2586.7354203522073,2505.6640985209087,2519.3883932702406,210716
2022-07-20,2547.376220703125,2575.069887125797,2524.436898544543,2535.171449208171,258551
2022-07-21,2718.145751953125,2779.1698518752537,2542.9159067952055,2548.7977477515556,1136196
2022-07-22,2643.299072265625,2745.250976089934,2633.93733410177,2745.250976089934,355041
2022-07-25,2610.458740234375,2659.5722039805128,2584.5787378527907,2659.5722039805128,292148
2022-07-26,2659.964599609375,2708.5388535104985,2583.500662763826,2623.840434583907,544688
2022-07-27,2674.423828125,2695.8436268569285,2637.417247429055,2659.9643032173126,250057
2022-07-28,2668.639892578125,2693.8827898997843,2633.054711788239,2690.8928066223316,335265
2022-07-29,2682.266845703125,2755.6429188375046,2648.1523542893797,2704.225865639301,248397
2022-08-01,2691.579345703125,2752.897585641432,2670.3557986168107,2689.961935170532,363460
2022-08-02,2705.205322265625,2768.729242423318,2675.600108663135,2690.8436859335234,366158
2022-08-03,2618.987548828125,2713.489021622656,2614.232965466842,2705.548441397112,461656
2022-08-04,2615.8017578125,2662.5132813190503,2589.970577777957,2636.044997594597,303228
2022-08-05,2635.2607421875,2688.0012969005984,2622.6639431667186,2630.7514744210694,272399
2022-08-08,2667.512939453125,2741.9181301256654,2623.399133283781,2641.8777729350877,382934
2022-08-10,2715.842041015625,2793.874563143894,2690.942342396487,2793.874563143894,1043450
2022-08-11,2743.192626953125,2781.081389877685,2725.2529642499712,2739.9085033674337,326247
2022-08-12,2742.1630859375,2781.8164465350474,2731.2327612904933,2756.4265971699865,386571
2022-08-16,2840.928955078125,2847.791102312613,2751.721041029778,2764.4159655470407,833499
2022-08-17,2834.802001953125,2866.5150205748305,2813.4803304592265,2851.8104195445558,481683
2022-08-18,2833.576904296875,2877.200558419418,2817.4018415323367,2822.2543124951535,459776
2022-08-19,2831.4697265625,2867.15280446216,2758.0936542796094,2846.7623716626017,335377
2022-08-22,2813.039306640625,2859.652940872522,2795.9330015718247,2818.3819306077576,232574
2022-08-23,2811.617919921875,2853.5748578707517,2788.9727379858145,2788.9727379858145,574029
2022-08-24,3000.1796875,3029.049672866006,2811.617831361752,2813.4803184178695,843342
2022-08-25,3082.4765625,3111.493739101835,2981.112936549679,2989.9356976246368,810380
2022-08-26,3108.20947265625,3146.490498759304,3044.832737582912,3088.9465409284467,519283
2022-08-29,3133.501708984375,3158.499533070376,3024.785777614031,3078.163436472301,501630
2022-08-30,3198.49609375,3208.7893154140484,3093.7502137499014,3137.9130840893404,574816
2022-09-01,3336.670166015625,3361.8151787241854,3180.899513155744,3190.800468113631,1034069
2022-09-02,3302.555419921875,3378.4313083971856,3293.8307853010365,3323.2399887412244,560330
2022-09-05,3224.425048828125,3321.2794076375817,3189.5750945443697,3284.0277495826144,587410
2022-09-06,3295.84033203125,3309.515563224836,3241.433307813543,3252.5596457431293,407055
2022-09-07,3245.109619140625,3313.436954628402,3200.7016736277315,3285.0080576804066,382798
2022-09-08,3252.903076171875,3312.456714950581,3246.7761586020492,3270.940625764355,363161
2022-09-09,3249.373779296875,3290.840804042957,3239.9139145834447,3267.362504480067,215708
2022-09-12,3264.029296875,3284.0274579004817,3245.060266422409,3264.421323823464,179592
2022-09-13,3292.70361328125,3366.0303709532054,3275.450117750957,3293.8308703758216,435755
2022-09-14,3223.885986328125,3289.860684377182,3206.583666374419,3244.717506630924,299457
2022-09-15,3232.0224609375,3281.037801006413,3202.7113833093763,3251.3835202647206,288585
2022-09-16,3117.5224609375,3250.5012171221792,3038.950969507352,3238.933549436223,482246
2022-09-19,3095.61279296875,3159.8228869595646,3044.8819171821137,3125.218009812477,342412
2022-09-20,3088.505615234375,3155.4115538713922,3069.438695972859,3121.4928430930204,252096
2022-09-21,3068.01708984375,3136.981769158173,3063.458758943528,3100.3672143381937,199589
2022-09-22,3082.182861328125,3156.538992265044,3038.9512335309328,3074.536420035276,334012
2022-09-23,3063.115478515625,3109.925127170795,3049.195170132881,3109.925127170795,162047
2022-09-26,2943.0771484375,3063.8999665190645,2907.6391518894657,3062.4785694670027,295539
2022-09-27,2973.025390625,2989.9356826003627,2909.550526543566,2941.900650322521,398174
2022-09-28,2950.42919921875,3009.051591164668,2932.685790513411,2967.3885539845087,344491
2022-09-29,2937.195068359375,2989.9356199482827,2914.4519993790964,2989.9356199482827,291653
2022-09-30,3027.57958984375,3092.8681220032813,2933.0781049235557,2955.4782122534057,310742
2022-10-03,2935.82275390625,3063.556773522816,2924.696176366853,3014.1982320674483,388862
2022-10-04,3020.129150390625,3053.6555941192287,2980.132586235138,2999.199505079871,313948
2022-10-06,3126.0517578125,3173.5475793119454,3020.129549264929,3047.529079288567,507339
2022-10-07,3231.189453125,3244.717495975744,3115.120980313509,3140.903097928971,601549
2022-10-10,3166.929931640625,3217.3176014663486,3145.8533370975465,3217.3176014663486,204689
2022-10-11,3134.090087890625,3226.1898693230464,3122.277342386479,3175.2139127126547,294944
2022-10-12,3183.546142578125,3195.653026567045,3110.5132903465405,3153.6467869665366,223256
2022-10-13,3201.53466796875,3241.5800522641207,3174.4290446556442,3194.8194714748283,393950
2022-10-14,3131.394287109375,3269.323416045717,3112.474316625233,3246.7763580040223,307787
2022-10-17,3133.599609375,3168.10635932645,3091.2013421696565,3127.227615459746,303859
2022-10-18,3148.353515625,3209.4264397582947,3122.865538007243,3166.3910655906316,210090
2022-10-19,3174.527587890625,3184.722682972549,3140.0696599498756,3163.4500730808486,263584
2022-10-20,3071.105712890625,3171.293037012538,3010.032541003709,3171.293037012538,438628
2022-10-21,2981.35791015625,3112.817141360586,2960.526391671804,3083.6039522782107,364038
2022-10-24,2992.6806640625,3016.305914478306,2986.798823228781,2999.738825196419,16594
2022-10-25,2995.082275390625,3025.471785426501,2961.1147413578024,3014.3942709984944,263091
2022-10-27,2979.54443359375,3017.384372332699,2946.9492320407735,3013.463145078206,250705
2022-10-28,2903.7666015625,2975.2308649918295,2887.0032610876237,2975.2308649918295,336034
2022-10-31,2989.690673828125,3001.5524818829817,2903.276724836906,2903.6687518252006,319759
2022-11-01,3090.073974609375,3131.2959232921544,2999.73879899368,3011.943570750494,504156
2022-11-02,3108.40576171875,3122.277006532745,3075.1732192112913,3098.7496444740996,199216
2022-11-03,3161.734375,3223.4446376229557,3073.359816394271,3096.9360024860484,362379
2022-11-04,3156.48974609375,3203.152445159534,3137.9620434447343,3171.292474396662,226208
2022-11-07,3198.103759765625,3218.346998028675,3144.8239932001184,3176.193808593636,289197
2022-11-09,3042.774169921875,3227.169974076526,3029.1480011836165,3227.169974076526,251189
2022-11-10,3104.53369140625,3176.1942184254212,2994.3472963519907,3042.774359381311,507653
2022-11-11,3093.701171875,3158.5483680559155,3043.950604004473,3136.9816194223868,692497
2022-11-14,2965.623779296875,3150.2646418705663,2951.8015984343037,3093.847943450923,560133
2022-11-15,2968.222412109375,3019.3453224033337,2955.037092530736,2967.3890554918476,383627
2022-11-16,2975.8681640625,3029.147932985803,2952.684004580336,2984.004758156803,468068
2022-11-17,3060.714111328125,3073.2620873343467,2954.5468277173004,2970.329864313579,632485
2022-11-18,3031.746337890625,3096.054572613178,3002.435254419698,3063.459364969898,485570
2022-11-21,3022.236572265625,3058.556984320976,2994.8370471476223,3036.9902363546103,374330
2022-11-22,2999.199462890625,3054.1457045429574,2983.1225277925387,3028.1675754560088,318799
2022-11-23,3038.26513671875,3047.6271152143217,2996.209828303907,3010.5224043703793,331230
2022-11-24,3063.409912109375,3107.5727845641277,3039.9806735992242,3052.6755997264017,549566
2022-11-25,3029.9814453125,3096.7892596927577,3019.3450205298177,3078.2615564362313,340177
2022-11-28,3042.235107421875,3070.2226742116954,3026.3539462973213,3038.9509840125206,321071
2022-11-29,2955.821044921875,3052.1852521878286,2950.7234973776663,3043.8526443048686,383945
2022-11-30,2941.6064453125,3013.462978649106,2920.3338364982715,2962.388900746987,6409415
2022-12-01,2934.891357421875,2970.329349472103,2906.070196371935,2950.6741519498164,499243
2022-12-02,2919.451904296875,2949.7432900065237,2864.6526081843235,2936.3621973352974,440688
2022-12-05,2917.0009765625,2942.831916848427,2888.9641066690033,2916.41269675612,216805
2022-12-06,2886.12158203125,2935.920980084422,2878.867167517372,2916.363905688937,238124
2022-12-07,2910.580322265625,2936.019239091707,2863.4765266734144,2867.3977543717,428075
2022-12-08,2929.499755859375,2935.4794834016116,2902.002103807735,2931.0190398472923,224644
2022-12-09,2918.030029296875,2976.015317907004,2882.1018821789844,2950.7233555641983,329565
2022-12-12,2932.489990234375,2940.4796351379696,2887.003845414924,2920.2852170905953,197711
2022-12-13,2934.205078125,2956.2131563168923,2920.3338332269436,2923.323816706557,120072
2022-12-14,2947.488525390625,2969.3494157701025,2939.351930759177,2945.8220516306233,307596
2022-12-15,2872.4951171875,2954.595816823455,2858.574807623233,2945.773055071532,258936
2022-12-16,2782.6005859375,2870.2889729528038,2769.366445401951,2862.4955825039633,425206
2022-12-19,2840.193603515625,2846.3205204271694,2775.5424241315445,2780.149817782488,397439
2022-12-20,2867.25048828125,2878.1808135533124,2823.577771734938,2836.1257468540302,380570
2022-12-21,2785.051513671875,2893.081271087502,2775.444459527972,2872.2988155785265,195307
2022-12-22,2747.60400390625,2796.2270785953183,2723.4883603928793,2796.2270785953183,234442
2022-12-23,2627.95751953125,2729.1251359435923,2613.7430705773368,2725.2529718537257,209507
2022-12-26,2670.992919921875,2690.599056604788,2588.0100421445345,2632.1238496810893,171579
2022-12-27,2688.638427734375,2703.24514308019,2655.2591716866273,2695.990728948896,117811
2022-12-28,2670.698974609375,2708.3426606770286,2654.6708624064404,2681.188209692517,127712
2022-12-29,2631.33935546875,2683.0996002267684,2626.1927449823816,2671.335919115069,225208
2022-12-30,2630.1630859375,2674.227827751499,2624.0852317791396,2641.4366138869154,155615
2023-01-02,2627.173095703125,2659.572282506952,2610.0667903334906,2632.123692787013,135840
2023-01-03,2636.436767578125,2641.0444005768004,2623.3007534099715,2640.309170545015,155374
2023-01-04,2651.92578125,2682.119277119198,2637.0251664658786,2637.0251664658786,313367
2023-01-05,2750.740966796875,2758.681547858209,2666.5815296526985,2671.8753301378283,361324
2023-01-06,2787.6005859375,2801.7169084977522,2754.9563207676056,2765.445555938474,630345
2023-01-09,2805.736328125,2825.587541816323,2774.905486259208,2804.7069580670527,179843
2023-01-10,2785.688720703125,2808.5789802015533,2746.378561647926,2803.677446204692,140490
2023-01-11,2843.08544921875,2851.712196062721,2769.366433096317,2791.91348724188,457133
