date,close,high,low,open,volume
2022-06-01,13545.458984375,13766.988701036347,13458.570883097731,13678.46999196031,9840
2022-06-02,13757.578125,13817.071651267543,13510.75032914975,13545.458980857395,10731
2022-06-03,13368.4677734375,13856.438979119752,13338.930296336173,13835.939909955563,11194
2022-06-06,13389.7109375,13445.52467138594,13216.587177426232,13368.466631441195,8304
2022-06-07,13158.119140625,13364.228141698328,13059.491030367402,13325.326499759654,10559
2022-06-08,13146.798828125,13296.441668917263,12990.539832691315,13296.441668917263,12830
2022-06-09,13382.4912109375,13418.225362604988,13082.832445975215,13119.77772432319,14211
2022-06-10,13246.0791015625,13370.983472501075,13185.234320431202,13254.511491033296,6282
2022-06-13,12914.8310546875,13180.340730030204,12863.25672224608,13120.334009248578,9177
2022-06-14,12855.619140625,13118.89223635516,12812.990393657801,12886.460558608826,8777
2022-06-15,12924.802734375,12988.53565551052,12817.415569418337,12880.869139790897,13446
2022-06-16,12626.0283203125,13119.403619792627,12578.973641136397,13119.403619792627,13252
2022-06-17,12420.337890625,12724.236917592636,12383.299804302875,12643.964072192546,17576
2022-06-20,12379.76171875,12521.484475738245,12266.830292444676,12485.797639100545,11196
2022-06-21,12730.109375,12793.330008283585,12396.672810334874,12434.549866108824,14668
2022-06-22,12521.0654296875,12774.602218609652,12490.503359675447,12718.74206688518,13706
2022-06-23,12878.9599609375,12921.309357178632,12532.385736229533,12578.974530788008,38229
2022-06-24,13293.4599609375,13350.111752531333,12951.68474967457,12951.68474967457,28919
2022-06-27,13597.544921875,13646.648780542913,13348.899993769219,13487.362429132058,28254
2022-06-28,13656.759765625,13697.10547936927,13470.77675342569,13557.339096926726,20876
2022-06-29,14463.9560546875,14563.656067433203,13566.655939976165,13616.971834259042,128714
2022-06-30,14190.5732421875,14628.880969739874,14153.675282187814,14461.161315309735,46647
2022-07-01,14616.1162109375,14657.95331308796,14164.437840546114,14231.013411011088,71619
2022-07-04,14850.830078125,14908.413643836848,14586.904567836451,14591.609853905315,33501
2022-07-05,14567.4306640625,14950.251334247361,14527.87659556354,14852.507679458404,29221
2022-07-06,15008.6728515625,15048.180512983305,14535.750184053712,14579.497243755404,48854
2022-07-07,15067.421875,15196.192572615779,14871.888162214434,15015.568183725989,25335
2022-07-08,15038.396484375,15178.628751229515,14931.70814846243,15038.86237230475,17133
2022-07-11,15425.5029296875,15472.139042103392,14908.41461449288,15001.59220583346,47938
2022-07-12,15386.3212890625,15434.866445268584,15301.62250312108,15425.501370335633,11692
2022-07-13,15250.701171875,15528.696134157564,15217.483908616432,15388.27824080024,16505
2022-07-14,15110.8662109375,15509.941193116432,14990.23771439448,15328.715005855092,23633
2022-07-15,15512.1572265625,15597.720887154346,15110.864524844854,15110.864524844854,27102
2022-07-18,15447.7861328125,15674.978842450251,15421.073411390122,15573.181067141604,24177
2022-07-19,15487.001953125,15574.123392909816,15343.815143947999,15447.831594840098,18990
2022-07-20,15467.560546875,15668.514331311728,15366.989634721713,15574.125690761657,35675
2022-07-21,15456.8466796875,15555.24683029785,15314.791786000618,15555.24683029785,20935
2022-07-22,15884.00390625,16166.507993672212,15451.42004087701,15526.930951278364,109380
2022-07-25,15582.572265625,16046.020476716003,15536.369764883677,15884.003854932009,33185
2022-07-26,15446.275390625,15761.202522445872,15397.66524295144,15666.625846325234,26746
2022-07-27,15507.767578125,15663.79271662431,15309.835363883478,15545.806932377365,38519
2022-07-28,15641.8974609375,15998.87456183214,15462.747083889919,15537.31410987132,30048
2022-07-29,16155.369140625,16263.16021380098,15695.460561740812,15846.90637431832,72333
2022-08-01,16658.98046875,16743.55231845674,16025.822600413656,16234.845498799476,74234
2022-08-02,16803.11328125,16895.56621482997,16518.011662543267,16629.296235535392,89734
2022-08-03,16329.08984375,17168.298722979784,16047.009812336924,17168.298722979784,168277
2022-08-04,16576.296875,16791.73894436773,16282.040291756231,16518.01189018748,99421
2022-08-05,16423.482421875,16815.33725372312,16142.960103894406,16611.45777874113,70018
2022-08-08,16342.9169921875,16612.396492101994,16234.842026372404,16329.230642804801,53429
2022-08-10,16267.2197265625,16617.11762612985,16202.563517679235,16376.426629557109,51020
2022-08-11,16449.908203125,16554.301657412183,16315.074416183956,16470.815653017646,58850
2022-08-12,16292.375,16522.731210239515,16235.78974849071,16442.50086731633,24628
2022-08-16,17031.72265625,17077.73711955505,16338.674047393906,16338.674047393906,95435
