prid,date_iso,date,call_money_vol_cr,call_money_wacr_pct,treps_vol_cr,treps_wacr_pct,market_repo_vol_cr,market_repo_wacr_pct,net_laf_cr,net_laf_day_cr,net_laf_total_cr
48251,2019-09-26,"September 26, 2019","18,968.39",5.34,"1,38,633.00",5.18,"47,758.03",5.21,"-1,42,272.00",,"-1,42,272.00"
48267,2019-09-27,"September 27, 2019","23,748.31",5.24,"1,43,546.15",5.18,"50,141.41",5.20,"-1,58,784.00",,"-1,58,784.00"
48291,2019-09-30,"September 30, 2019","14,725.60",5.41,"1,48,138.60",5.33,"57,997.68",5.28,"-1,19,490.00",,"-1,19,490.00"
48304,2019-10-01,"October 01, 2019","12,743.52",5.26,"1,64,364.75",5.13,"60,545.29",5.18,"-2,14,313",,"-2,14,313"
48315,2019-10-03,"October 03, 2019","11,663.00",5.22,"1,70,745.95",4.92,"59,833.40",5.11,"-2,64,749.00",,"-2,64,749.00"
48336,2019-10-04,"October 04, 2019","1,109.15",4.94,"3,872.20",4.20,0.00,,"-2,46,315",,"-2,46,315"
48338,2019-10-05,"October 05, 2019","2,333.16",4.87,"7,141.70",4.46,0.00,,"-255,874",,"-255,874"
48346,2019-10-07,"October 07, 2019","15,158.49",5.12,"1,53,424.40",4.81,"56,208.60",4.57,"-2,37,113",,"-2,37,113"
48359,2019-10-09,"October 09, 2019","14,512.17",5.07,"1,53,541.45",4.86,"53,298.25",4.71,"-1,94,561",,"-1,94,561"
48369,2019-10-10,"October 10, 2019","13,044.20",5.07,"1,78,703.20",4.73,"54,028.81",4.72,"-2,02,504",,"-2,02,504"
48386,2019-10-11,"October 11, 2019","16,982.01",5.04,"1,94,195.80",4.58,"54,938.60",4.65,"-2,15,874",,"-2,15,874"
48396,2019-10-14,"October 14, 2019","15,137.23",5.06,"1,81,662.75",4.59,"59,345.28",4.59,"-1,96,252",,"-1,96,252"
48407,2019-10-15,"October 15, 2019","13,933.07",5.05,"1,84,143.05",4.60,"56,747.38",4.56,"-1,91,894",,"-1,91,894"
48423,2019-10-16,"October 16, 2019","13,994.29",5.05,"1,74,981.05",4.73,"60,135.85",4.62,"-1,98,817",,"-1,98,817"
48432,2019-10-17,"October 17, 2019","12,010.18",5.04,"1,70,096.35",4.81,"61,443.16",4.76,"-2,04,040",,"-2,04,040"
48449,2019-10-18,"October 18, 2019","1,009.60",4.50,"6,286.60",4.57,0.00,,"-1,62,359",,"-1,62,359"
48450,2019-10-19,"October 19, 2019","1,509.36",4.86,"4,468.00",5.33,0.00,,"-153,690",,"-153,690"
48451,2019-10-21,"October 21, 2019",0.00,,0.00,,0.00,,"-156,419",,"-156,419"
48460,2019-10-22,"October 22, 2019","14,210.83",5.10,"1,63,583.30",4.96,"57,816.43",4.86,"-1,31,544",,"-1,31,544"
48468,2019-10-23,"October 23, 2019","11,835.82",5.06,"1,60,853.65",4.91,"58,879.45",4.86,"-1,17,969",,"-1,17,969"
48479,2019-10-24,"October 24, 2019","10,837.99",5.06,"1,75,307.70",4.89,"58,388.93",4.80,"-1,51,446",,"-1,51,446"
48492,2019-10-25,"October 25, 2019","10,795.59",5.10,"1,63,553.75",4.89,"55,755.74",4.79,"-1,51,238",,"-1,51,238"
48494,2019-10-28,"October 28, 2019",0.00,-,0.00,-,0.00,-,"-175,803",,"-175,803"
48505,2019-10-29,"October 29, 2019","11,622.68",5.09,"1,74,435.55",4.84,"60,962.99",4.80,"-2,06,802",,"-2,06,802"
48514,2019-10-30,"October 30, 2019","13,504.21",5.10,"1,80,563.15",4.82,"52,190.58",4.79,"-2,19,839",,"-2,19,839"
48525,2019-10-31,"October 31, 2019","11,993.79",5.11,"1,70,574.30",4.83,"53,193.35",4.80,"-2,50,504",,"-2,50,504"
48544,2019-11-01,"November 01, 2019",494.01,4.53,"5,144.95",4.72,0.00,,"-2,65,779",,"-2,65,779"
48545,2019-11-02,"November 02, 2019","2,811.80",4.86,"6,346.50",4.44,0.00,,"-288,058",,"-288,058"
48556,2019-11-04,"November 04, 2019","12,259.31",5.03,"1,85,055.85",4.84,"55,513.06",4.83,"-2,82,759",,"-2,82,759"
48567,2019-11-05,"November 05, 2019","11,825.13",5.04,"1,65,457.40",4.89,"51,499.63",4.86,"-2,64,228",,"-2,64,228"
48578,2019-11-06,"November 06, 2019","10,866.46",5.07,"1,61,403.05",4.93,"56,839.84",4.88,"-2,38,784",,"-2,38,784"
48589,2019-11-07,"November 07, 2019","9,932.14",5.06,"1,62,016.35",4.97,"58,215.23",4.95,"-2,45,812",,"-2,45,812"
48606,2019-11-08,"November 08, 2019","12,249.38",5.02,"1,64,753.55",5.00,"58,116.05",4.95,"-2,40,981",,"-2,40,981"
48616,2019-11-11,"November 11, 2019","9,835.51",5.06,"1,78,888.15",4.99,"58,945.17",4.96,"-2,21,343",,"-2,21,343"
48618,2019-11-12,"November 12, 2019",0.00,-,0.00,-,0.00,-,"-225,625",,"-225,625"
48627,2019-11-13,"November 13, 2019","10,967.04",5.09,"1,88,514.60",4.91,"58,511.77",4.90,"-2,31,700",,"-2,31,700"
48637,2019-11-14,"November 14, 2019","8,503.34",5.07,"1,83,914.10",4.92,"58,136.46",4.92,"-2,42,798",,"-2,42,798"
48655,2019-11-15,"November 15, 2019",560.60,4.68,"4,396.50",4.79,0.00,,"-2,52,391",,"-2,52,391"
48656,2019-11-16,"November 16, 2019","1,111.36",4.61,"7,238.35",4.40,0.00,,"-260,558",,"-260,558"
48667,2019-11-18,"November 18, 2019","11,881.13",5.06,"1,89,715.30",4.93,"57,100.39",4.90,"-2,38,865",,"-2,38,865"
48676,2019-11-19,"November 19, 2019","12,453.14",5.07,"1,89,547.45",4.95,"54,976.81",4.91,"-2,24,792",,"-2,24,792"
48688,2019-11-20,"November 20, 2019","10,829.05",5.07,"1,75,059.70",4.97,"52,482.71",4.90,"-2,05,918",,"-2,05,918"
48695,2019-11-21,"November 21, 2019","10,656.46",5.05,"1,74,884.15",5.02,"60,691.84",4.99,"-1,86,950",,"-1,86,950"
48709,2019-11-22,"November 22, 2019","18,811.97",5.04,"1,85,277.45",5.04,"56,004.38",4.97,"-2,08,553",,"-2,08,553"
48716,2019-11-25,"November 25, 2019","10,570.01",5.04,"1,83,504.95",5.00,"55,962.53",4.97,"-1,99,150",,"-1,99,150"
48728,2019-11-26,"November 26, 2019","12,006.82",5.04,"1,84,302.40",4.98,"59,267.58",4.99,"-2,15,950",,"-2,15,950"
48736,2019-11-27,"November 27, 2019","10,947.01",5.02,"1,89,827.55",4.98,"70,098.03",4.93,"-2,18,300",,"-2,18,300"
48742,2019-11-28,"November 28, 2019","11,449.64",5.03,"1,96,630.55",4.99,"67,961.91",4.94,"-2,33,756",,"-2,33,756"
48770,2019-11-29,"November 29, 2019",787.07,4.70,"6,187.00",4.60,0.00,,"-2,42,442",,"-2,42,442"
48771,2019-11-30,"November 30, 2019","1,035.88",4.59,"6,330.25",4.68,0.00,,"-284,568",,"-284,568"
48780,2019-12-02,"December 02, 2019","10,182.95",4.99,"2,03,382.95",4.78,"67,042.75",4.83,"-3,04,899",,"-3,04,899"
48790,2019-12-03,"December 03, 2019","11,791.37",5.05,"2,12,251.25",4.72,"67,776.30",4.78,"-3,18,584",,"-3,18,584"
48799,2019-12-04,"December 04, 2019","11,666.45",5.02,"2,04,563.65",4.73,"66,311.36",4.75,"-3,16,944",,"-3,16,944"
48812,2019-12-05,"December 05, 2019","15,680.58",5.03,"1,69,525.60",4.76,"72,197.14",4.73,"-3,18,971",,"-3,18,971"
48829,2019-12-06,"December 06, 2019","1,180.81",4.64,"3,335.55",4.83,0.00,,"-2,96,433",,"-2,96,433"
48830,2019-12-07,"December 07, 2019","1,958.41",4.69,"8,213.40",4.99,192.52,4.72,"-300,895",,"-300,895"
48836,2019-12-09,"December 09, 2019","12,087.53",5.01,"1,84,772.15",4.90,"66,878.69",4.83,"-2,88,281",,"-2,88,281"
48853,2019-12-10,"December 10, 2019","11,358.24",5.00,"2,21,285.05",4.75,"71,976.53",4.85,"-2,89,397",,"-2,89,397"
48863,2019-12-11,"December 11, 2019","12,518.04",5.00,"2,19,402.40",4.58,"69,709.82",4.68,"-2,90,340",,"-2,90,340"
48870,2019-12-12,"December 12, 2019","12,176.32",4.95,"2,16,617.45",4.58,"74,406.57",4.62,"-2,86,142",,"-2,86,142"
48886,2019-12-13,"December 13, 2019","11,718.97",4.97,"1,95,568.55",4.78,"65,646.72",4.68,"-2,77,744",,"-2,77,744"
48894,2019-12-16,"December 16, 2019","15,379.30",5.08,"1,93,560.30",4.91,"64,432.25",4.79,"-2,06,282",,"-2,06,282"
48903,2019-12-17,"December 17, 2019","14,945.87",5.06,"2,09,200.70",4.90,"67,630.47",4.79,"-2,33,720",,"-2,33,720"
48911,2019-12-18,"December 18, 2019","13,948.67",5.06,"210,568.45",4.89,"70,324.42",4.81,"-2,37,347",,"-2,37,347"
48923,2019-12-19,"December 19, 2019","12,013.69",4.99,"211,124.05",4.88,"67,818.94",4.79,"-2,44,608",,"-2,44,608"
48939,2019-12-20,"December 20, 2019",682.30,4.61,"2,695.30",4.76,0.00,,"-1,98,059",,"-1,98,059"
